iter	Passed	Remaining
0	51	51532
1	53	26513
2	54	18168
3	56	14016
4	57	11487
5	60	9977
6	61	8771
7	62	7795
8	65	7197
9	68	6748
10	71	6393
11	72	5953
12	73	5614
13	75	5303
14	77	5057
15	78	4848
16	80	4646
17	82	4475
18	83	4309
19	84	4156
20	86	4017
21	87	3897
22	88	3779
23	90	3669
24	91	3572
25	93	3492
26	95	3430
27	96	3358
28	98	3288
29	99	3220
30	101	3165
31	102	3104
32	104	3059
33	105	3010
34	107	2972
35	109	2936
36	111	2910
37	113	2870
38	115	2839
39	116	2804
40	119	2784
41	120	2757
42	121	2710
43	123	2673
44	124	2644
45	126	2615
46	127	2585
47	128	2557
48	130	2529
49	131	2499
50	132	2469
51	133	2440
52	135	2414
53	136	2388
54	137	2364
55	138	2342
56	140	2320
57	141	2299
58	143	2282
59	144	2261
60	146	2256
61	149	2256
62	150	2238
63	153	2238
64	155	2231
65	159	2250
66	160	2239
67	162	2223
68	164	2215
69	165	2205
70	167	2197
71	169	2183
72	171	2173
73	172	2159
74	174	2149
75	176	2140
76	177	2131
77	179	2120
78	181	2112
79	182	2102
80	184	2090
81	185	2071
82	186	2057
83	187	2047
84	190	2050
85	192	2040
86	193	2034
87	195	2023
88	196	2015
89	198	2006
90	200	1998
91	201	1987
92	203	1980
93	204	1970
94	205	1960
95	207	1955
96	209	1948
97	210	1938
98	212	1930
99	215	1935
100	217	1936
101	219	1934
102	221	1928
103	223	1927
104	225	1921
105	226	1914
106	229	1918
107	232	1916
108	233	1909
109	236	1915
110	238	1912
111	241	1913
112	244	1917
113	246	1915
114	248	1909
115	249	1903
116	251	1896
117	253	1891
118	254	1886
119	256	1882
120	258	1876
121	260	1871
122	261	1863
123	263	1862
124	265	1856
125	266	1850
126	268	1845
127	271	1851
128	274	1854
129	276	1853
130	280	1860
131	288	1898
132	291	1901
133	294	1900
134	295	1896
135	298	1897
136	302	1906
137	305	1907
138	306	1899
139	309	1899
140	311	1896
141	313	1895
142	317	1901
143	318	1895
144	320	1891
145	322	1886
146	324	1882
147	326	1878
148	328	1876
149	331	1877
150	335	1886
151	338	1887
152	345	1914
153	348	1916
154	351	1915
155	353	1912
156	354	1905
157	357	1903
158	358	1896
159	360	1891
160	362	1888
161	364	1882
162	365	1879
163	368	1878
164	369	1872
165	371	1866
166	373	1860
167	374	1854
168	375	1847
169	377	1844
170	379	1837
171	380	1833
172	382	1827
173	384	1826
174	386	1823
175	388	1818
176	390	1813
177	391	1809
178	394	1808
179	395	1801
180	396	1793
181	397	1787
182	399	1782
183	401	1779
184	403	1776
185	404	1772
186	406	1766
187	408	1764
188	410	1759
189	414	1765
190	417	1768
191	420	1767
192	421	1763
193	425	1766
194	427	1763
195	429	1760
196	431	1757
197	432	1752
198	433	1746
199	436	1745
200	437	1739
201	438	1732
202	439	1725
203	441	1722
204	443	1718
205	444	1713
206	445	1707
207	447	1702
208	448	1696
209	450	1693
210	451	1689
211	453	1685
212	455	1682
213	456	1677
214	457	1671
215	459	1666
216	460	1661
217	461	1655
218	463	1652
219	465	1649
220	467	1646
221	468	1642
222	470	1638
223	471	1634
224	473	1629
225	474	1624
226	475	1617
227	476	1613
228	478	1610
229	479	1606
230	481	1602
231	482	1597
232	484	1596
233	486	1592
234	488	1588
235	489	1584
236	490	1580
237	493	1578
238	494	1574
239	496	1571
240	498	1569
241	502	1573
242	504	1570
243	506	1569
244	509	1571
245	511	1568
246	513	1565
247	515	1562
248	519	1567
249	523	1569
250	526	1569
251	528	1568
252	531	1568
253	534	1568
254	535	1565
255	538	1564
256	540	1562
257	543	1561
258	544	1557
259	546	1555
260	549	1555
261	551	1554
262	553	1552
263	555	1547
264	556	1544
265	558	1540
266	559	1536
267	561	1534
268	563	1531
269	565	1529
270	567	1525
271	568	1521
272	570	1518
273	572	1516
274	576	1519
275	581	1524
276	584	1524
277	586	1523
278	590	1526
279	594	1527
280	597	1527
281	598	1523
282	601	1523
283	604	1524
284	606	1521
285	608	1518
286	610	1516
287	611	1512
288	613	1510
289	615	1506
290	617	1503
291	620	1503
292	622	1502
293	624	1499
294	625	1495
295	627	1493
296	630	1491
297	632	1490
298	637	1494
299	640	1493
300	642	1491
301	643	1488
302	645	1484
303	648	1484
304	649	1480
305	651	1478
306	654	1476
307	655	1473
308	658	1471
309	659	1468
310	662	1468
311	666	1468
312	668	1466
313	671	1466
314	673	1464
315	678	1468
316	681	1468
317	682	1464
318	685	1462
319	688	1463
320	690	1461
321	693	1459
322	696	1460
323	699	1459
324	701	1457
325	703	1453
326	704	1450
327	707	1448
328	709	1447
329	711	1444
330	714	1444
331	717	1443
332	720	1443
333	721	1439
334	724	1437
335	726	1435
336	728	1432
337	729	1429
338	732	1428
339	733	1424
340	737	1425
341	741	1425
342	743	1424
343	747	1424
344	748	1421
345	750	1418
346	751	1415
347	753	1411
348	755	1408
349	757	1406
350	758	1403
351	762	1403
352	765	1402
353	768	1402
354	770	1399
355	772	1396
356	774	1394
357	776	1392
358	778	1390
359	780	1387
360	782	1385
361	784	1381
362	785	1378
363	788	1377
364	790	1375
365	793	1374
366	796	1373
367	798	1370
368	801	1370
369	805	1370
370	807	1368
371	810	1367
372	814	1368
373	819	1371
374	821	1369
375	827	1373
376	830	1371
377	834	1372
378	837	1372
379	841	1372
380	844	1371
381	846	1370
382	849	1368
383	851	1366
384	853	1363
385	855	1360
386	857	1359
387	860	1356
388	862	1355
389	864	1352
390	865	1348
391	868	1346
392	869	1343
393	871	1340
394	873	1338
395	875	1335
396	877	1332
397	879	1330
398	880	1326
399	882	1323
400	883	1319
401	884	1316
402	886	1312
403	887	1309
404	888	1305
405	892	1306
406	894	1303
407	896	1301
408	898	1297
409	899	1294
410	900	1291
411	902	1288
412	904	1285
413	906	1282
414	907	1279
415	909	1276
416	910	1272
417	911	1269
418	912	1265
419	914	1262
420	915	1259
421	917	1256
422	919	1253
423	920	1251
424	922	1248
425	924	1245
426	925	1242
427	928	1240
428	929	1237
429	932	1235
430	934	1233
431	935	1230
432	937	1227
433	939	1225
434	942	1224
435	945	1223
436	949	1222
437	951	1220
438	953	1218
439	954	1214
440	956	1212
441	958	1209
442	959	1206
443	962	1204
444	964	1202
445	966	1200
446	967	1197
447	970	1195
448	971	1192
449	973	1189
450	974	1186
451	975	1182
452	977	1180
453	979	1178
454	981	1175
455	983	1172
456	984	1169
457	986	1166
458	988	1164
459	990	1162
460	995	1163
461	997	1161
462	999	1158
463	1001	1156
464	1004	1155
465	1007	1154
466	1009	1152
467	1011	1149
468	1013	1147
469	1016	1145
470	1018	1144
471	1021	1142
472	1023	1140
473	1025	1137
474	1026	1134
475	1028	1131
476	1029	1128
477	1030	1125
478	1032	1122
479	1032	1119
480	1035	1116
481	1038	1115
482	1040	1113
483	1042	1111
484	1044	1108
485	1046	1107
486	1048	1104
487	1050	1102
488	1051	1099
489	1053	1096
490	1054	1093
491	1056	1090
492	1057	1087
493	1059	1085
494	1061	1082
495	1062	1079
496	1064	1077
497	1067	1076
498	1069	1074
499	1071	1071
500	1074	1070
501	1076	1068
502	1078	1066
503	1080	1063
504	1084	1063
505	1088	1062
506	1091	1061
507	1094	1060
508	1098	1059
509	1101	1058
510	1103	1056
511	1108	1056
512	1112	1056
513	1114	1054
514	1116	1051
515	1118	1048
516	1120	1047
517	1123	1045
518	1125	1042
519	1127	1040
520	1129	1038
521	1132	1037
522	1134	1035
523	1136	1032
524	1145	1036
525	1148	1034
526	1151	1033
527	1153	1030
528	1156	1029
529	1158	1027
530	1163	1027
531	1165	1025
532	1170	1025
533	1172	1022
534	1174	1020
535	1178	1020
